,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95
38,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.61,0.65
39,0.35000000000000003,0.38,0.4,0.41800000000000015,0.43,0.4469999999999999,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.5429999999999996,0.56,0.5800000000000001,0.6,0.62,0.65
40,0.35000000000000003,0.38,0.4,0.42000000000000004,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
41,0.35000000000000003,0.38,0.4,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
42,0.35000000000000003,0.38,0.4,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
43,0.35000000000000003,0.38,0.39849999999999997,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
44,0.35000000000000003,0.37900000000000006,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
45,0.35000000000000003,0.37900000000000006,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
46,0.35000000000000003,0.37900000000000006,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
47,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.62,0.65
48,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.4469999999999999,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.6210000000000002,0.65
49,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
50,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
51,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
52,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
53,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
54,0.35000000000000003,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
55,0.34,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6014999999999997,0.63,0.65
56,0.34,0.37,0.39,0.40800000000000014,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.6,0.63,0.65
57,0.34,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
58,0.34,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
59,0.34,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
60,0.34,0.37,0.39,0.41000000000000003,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
61,0.34,0.37,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.53,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
62,0.34,0.37,0.39,0.4,0.43,0.4469999999999999,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
63,0.3395000000000001,0.37,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
64,0.33,0.37,0.39,0.4,0.43,0.4469999999999999,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
65,0.33,0.37,0.39,0.4,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
66,0.33,0.37,0.39,0.4,0.43,0.45,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
67,0.33,0.37,0.39,0.4,0.43,0.4469999999999999,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
68,0.33,0.37,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
69,0.33,0.37,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
70,0.33,0.37,0.39,0.4,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
71,0.33,0.36000000000000004,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
72,0.33,0.3590000000000001,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
73,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
74,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.65
75,0.33,0.35000000000000003,0.38,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6504999999999995
