step,variance,polarization,disutility
0,0.005548886913580247,1.0,15.340837724926919
1,0.005528582222222224,0.9963407631702982,15.452494464268229
2,0.00562042024691358,1.0128914743528585,14.331786543734912
3,0.0056884646913580245,1.025154193976485,13.683090111454211
4,0.005748493333333333,1.0359723351478964,13.486461548369435
5,0.005806312469135804,1.0463922872397233,13.177626172269996
6,0.0059047066666666655,1.064124527788734,12.53383022010041
7,0.005979691358024692,1.0776379931964555,12.74899340530792
8,0.0060587254320987665,1.0918812234703774,11.795769614648611
9,0.006126006913580248,1.1040064447137257,11.815993493051938
10,0.0061996172839506175,1.117272235045516,11.443765294467124
11,0.00629491987654321,1.134447317918326,11.097390338922283
12,0.006422612839506173,1.1574596742614423,10.764572513807854
13,0.006513416666666667,1.173824006167047,10.145322556010939
14,0.006582814320987654,1.1863305962997717,9.714516386207288
15,0.0066409228395061725,1.1968026998808168,8.9797991838935
16,0.006703453209876543,1.2080716933463955,8.488505709365167
17,0.006771959876543209,1.220417712959627,8.230625743801612
18,0.00685411,1.2352225061976616,8.085580291453711
19,0.0069291124691358025,1.248739175451137,7.806357298425206
20,0.0069758858024691365,1.2571684936300427,7.545424359736936
21,0.007062073580246913,1.2727009380860366,7.302223047267997
22,0.007133176666666668,1.285514874921862,6.608227000287203
23,0.0072045254320987654,1.2983730871260932,6.3981657595755115
24,0.0073085599999999995,1.317121814487363,5.930803231639342
25,0.007414154444444445,1.3361516570646224,5.594031780048155
26,0.00748083950617284,1.3481693937327082,5.461443017708581
27,0.007549621111111111,1.3605649617104834,5.152756611454522
28,0.007618562469135802,1.3729893198021872,5.227194792345159
29,0.007687176666666667,1.3853547182324453,5.224898498450771
30,0.007765351111111111,1.3994430292148015,5.100671663526707
31,0.007833802469135802,1.4117790813079094,5.061049033836434
32,0.007873861111111111,1.4189983024957245,4.915755912973796
33,0.007972132839506174,1.4367084721073191,4.654384998765498
34,0.008052132839506173,1.4511257780005438,4.4912461020640055
35,0.008106303580246913,1.460888229747067,4.386752653952454
36,0.008183242469135803,1.4747538734495167,4.132221673697004
37,0.008269068024691358,1.4902210395482718,3.8892138903858067
38,0.00833044888888889,1.501282873237351,3.8632222678859143
39,0.008418643333333333,1.5171769517828333,3.6826862660734148
40,0.008425245802469136,1.5183668244976012,3.6710678320709107
41,0.008495912469135803,1.5311021113699501,3.5851681334311327
42,0.008568273950617284,1.5441428315375183,3.4453764545018273
43,0.008630679506172842,1.5553893313360325,3.3496990611982835
44,0.008681017777777779,1.5644611095843401,3.3142160416112274
45,0.008748024691358025,1.5765368492099314,3.001008567123591
46,0.008805916543209877,1.5869699059208493,2.9749368677124868
47,0.008873725802469135,1.599190241335021,2.815342674436359
48,0.008901186543209877,1.6041391150764437,2.801382379727406
49,0.008956860617283952,1.614172492029544,2.6990676384844443
50,0.009036051728395061,1.6284440229409594,2.5455261370667825
51,0.009074012222222223,1.6352851235830101,2.5722922352677724
52,0.00911494061728395,1.6426610884745563,2.4211334405281018
53,0.009158682839506172,1.6505441509523964,2.222594486819996
54,0.009208688395061728,1.65955596833746,2.1759534345732257
55,0.009278153580246916,1.6720747286342648,2.0377876768400838
56,0.009329933209876545,1.6814062631268683,2.0320098293214257
57,0.009376153580246916,1.6897359283534656,2.0236142920232787
58,0.009400682839506173,1.6941565012794024,2.0188514947812006
59,0.00941823839506173,1.697320298961527,2.0052759246592675
60,0.009474333333333333,1.707429522513068,1.9604329895274253
61,0.00956371987654321,1.7235384367155027,1.861204201825776
62,0.009615305061728398,1.7328349291451717,1.8269473970252925
63,0.009656822098765434,1.7403169769294629,1.745195258624192
64,0.009659399876543212,1.7407815345638002,1.738201182396135
65,0.00967939,1.7443840811227982,1.707986861038413
66,0.009703654320987656,1.7487569078474288,1.5990111545134895
67,0.00975134765432099,1.7573520250441066,1.52354115139697
68,0.00978902950617284,1.7641429098537478,1.4448692822275295
69,0.009812022098765433,1.7682865503623195,1.3065692171738394
70,0.009877093333333335,1.78001344903251,1.2540930670572974
71,0.009964440000000003,1.7957547441835964,1.1175955646415974
72,0.010023315555555554,1.8063650803595708,1.09303710815027
73,0.010075416666666668,1.8157545510628939,1.0298037504650601
74,0.01010623839506173,1.8213091296432626,1.0160692465614058
75,0.010115827654320987,1.8230372706936395,1.0131145257372254
76,0.01013758024691358,1.826957442960866,0.9914451305790162
77,0.010203560987654322,1.8388482494898766,0.9645139437664614
78,0.010241559999999999,1.8456962917977273,0.9524206546111103
79,0.010259320987654322,1.8488971116974544,0.9441715710773071
80,0.010284979135802471,1.8535211288287738,0.9396622615515821
81,0.010324672098765433,1.8606744486893423,0.8815620999445023
82,0.010335606913580249,1.8626450808152295,0.8736314023997394
83,0.010365783209876543,1.868083341995583,0.8523914547972018
84,0.010427725432098767,1.8792463415641318,0.7667649114019476
85,0.0105008487654321,1.8924243598716184,0.8149598576242905
86,0.010520807283950617,1.8960212107048315,0.800549707194252
87,0.010527675432098767,1.8972589631144798,0.8726414011972637
88,0.010561008765432102,1.9032661739033239,0.8663580698532265
89,0.010590021111111111,1.9084946721825025,0.8585650802949771
90,0.010600016172839505,1.9102959454620014,0.8478772521641662
91,0.010582884444444447,1.9072085283526115,0.8427704232931145
92,0.010592217777777779,1.9088905473734874,0.8400334831980779
93,0.010603942098765431,1.911003461399354,0.7727419452913907
94,0.01064597728395062,1.9185788879380192,0.7717870492261395
95,0.010683844320987654,1.925403146140932,0.8272671251945443
96,0.010716552469135806,1.9312976883540922,0.8407393488525776
97,0.010770264691358026,1.9409775075788753,0.8018547677747578
98,0.010793275432098764,1.9451244186799868,0.7985523405902389
99,0.010795275432098766,1.9454848513273177,0.7972620911929638
100,0.010818845802469137,1.9497326168228957,0.7734222051180913
101,0.010845814691358027,1.9545928508317898,0.7684956277372175
102,0.010838110000000001,1.9532043396802705,0.7619531848312235
103,0.010854518024691357,1.9561613335687564,0.7616548733822947
104,0.010874990000000003,1.9598507176970477,0.760534813705353
105,0.010906024691358025,1.965443675679678,0.7553892187654111
106,0.010929754444444445,1.969720164542398,0.7546274149954825
107,0.01093422765432099,1.9705263099813324,0.7529334507360288
108,0.010943280987654323,1.9721578684315824,0.7516277549824861
109,0.010942303580246915,1.9719817236618962,0.7649679126161157
110,0.01095725172839506,1.9746756239667593,0.7621607866503721
111,0.010972643333333332,1.9774494424240436,0.7624927453473901
112,0.010977645802469137,1.9783509690209475,0.7581249719716607
113,0.011004395061728395,1.9831716221854214,0.7487717811024842
114,0.011017532222222223,1.9855391529530202,0.7354151943500872
115,0.011021888888888892,1.9863242954031226,0.7353749649245241
116,0.011021338765432098,1.986225154176177,0.7339330558775933
117,0.011023473950617285,1.9866099494005962,0.7331783197442285
118,0.011027725432098767,1.98737613576332,0.7330718729188397
119,0.011034555555555556,1.9886070355028826,0.732701890493245
120,0.011050748024691357,1.991525182761601,0.7316498801016635
121,0.011061173333333332,1.9934039935581338,0.722944588951192
122,0.01107419888888889,1.9957514112940546,0.7221692528603119
123,0.011078614320987655,1.9965471442342881,0.720436207373698
124,0.011078421111111111,1.9965123246606415,0.7206697018849919
125,0.011089,1.9984188131246607,0.7200387112121713
126,0.011083414691358023,1.9974122493346675,0.719770373282451
127,0.011091354444444446,1.9988431224467131,0.7186586423316427
128,0.011103230987654323,2.0009834694018496,0.7185771695648846
129,0.011105453209876543,2.001383950121105,0.7173278869175482
130,0.011112723333333333,2.0026941450430806,0.7166249075284525
131,0.011123071111111113,2.004558983512298,0.7162632369824932
132,0.011129449876543211,2.0057085411679942,0.7161101459335661
133,0.011129449876543211,2.0057085411679942,0.7161101459335661
134,0.011129449876543211,2.0057085411679942,0.7161101459335661
135,0.011129449876543211,2.0057085411679942,0.7161101459335661
136,0.011129449876543211,2.0057085411679942,0.7161101459335661
137,0.011129449876543211,2.0057085411679942,0.7161101459335661
138,0.011129449876543211,2.0057085411679942,0.7161101459335661
139,0.011129449876543211,2.0057085411679942,0.7161101459335661
140,0.011129449876543211,2.0057085411679942,0.7161101459335661
141,0.011129449876543211,2.0057085411679942,0.7161101459335661
